Name,Language,Gender,Age,Voice ID (copy button),Source,Tags
Alain,French,male,middle_aged,Alain,RECOMMENDED,deep; warm
Alistair,English,male,middle_aged,Alistair,SYSTEM,articulate; clear; engaging; polished; professional
Alvaro,Spanish,male,young,Alvaro,SYSTEM,warm; articulate; engaging; castilian; education & training; narration; business; enterprise
Aron,English,-,-,default-ofw8mqnvn6z4uenfqu9epq__aron,IVC,
Beatrice,English,female,elderly,Beatrice,SYSTEM,rich; authoritative; graceful; british; audiobook; narration; documentary; interactive media
Bella,English,-,-,default-ofw8mqnvn6z4uenfqu9epq__bella,IVC,
Cordelia,English,female,elderly,Cordelia,SYSTEM,refined; composed; literary; british; audiobook; narration; documentary; interactive media
Deborah,English,female,young,Deborah,SYSTEM,gentle; companion; personal growth
Dennis,English,male,middle_aged,Dennis,SYSTEM,outgoing; upbeat; customer support; education & training; tutoring; companion; general purpose assistant
Graham,English,male,middle_aged,Graham,SYSTEM,profound; authoritative; sophisticated; british; interactive media; narrative; character
Hank,English,male,middle_aged,Hank,SYSTEM,warm; laid-back; authentic; southern; interactive media; narrative; character
Hélène,French,female,middle_aged,Hélène,SYSTEM,expressive; soothing
Ignacio,Spanish,male,middle_aged,Ignacio,SYSTEM,calm; refined; steady; castilian; education & training; narration; business; enterprise
John Doe,English,-,-,default-ofw8mqnvn6z4uenfqu9epq__john_doe,IVC,
Luna,English,female,middle_aged,Luna,RECOMMENDED,calm; relaxed; companion app; social; healthcare; spiritual support
Penelope,English,female,middle_aged,Penelope,SYSTEM,articulate; clear; polite; refined; helpful; informative
Rocio,Spanish,female,middle_aged,Rocio,SYSTEM,calm; refined; measured; castilian; education & training; narration; business; enterprise
Rosalind,English,female,middle_aged,Rosalind,SYSTEM,mature; warm; measured; british; audiobook; narration; documentary; interactive media
Sarah,English,female,middle_aged,Sarah,RECOMMENDED,upbeat; excited; enterprise; customer support; sales automation; companion; general purpose assistant
Sofia,Spanish,female,middle_aged,Sofia,SYSTEM,warm; conversational
Veronica,English,female,middle_aged,Veronica,SYSTEM,intimidating; commanding; icy; companion; social; interactive media; character
Wendy,English,female,elderly,Wendy,SYSTEM,pleasant; casual; british; healthcare; mental health; spiritual support
Winifred,English,female,middle_aged,Winifred,SYSTEM,mature; warm; measured; british; audiobook; narration; documentary; interactive media
Winston,English,male,middle_aged,Winston,SYSTEM,mature; warm; british; narrative; storytelling; narration
Étienne,French,male,middle_aged,Étienne,SYSTEM,robust; strong
